"runtime","title","vote_average","vote_count","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","TV.Movie","War","Western","log_budget","log_revenue","title_length","age"
105,"Lock, Stock and Two Smoking Barrels",7.5,1648,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1156151504146,15.1758635834136,35,7501
114,"Taxi Driver",8,2535,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0778748224318,17.1570490138754,11,15563
81,"Run Lola Run",7.2,664,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14.2407782933686,15.7989346072532,12,7333
116,"Back to the Future",8,6079,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16.7599495371307,19.7585979808401,18,12129
107,"Predator",7.3,2093,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16.7058823158604,18.4028787037467,8,11421
103,"Snatch",7.7,2912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.1180956509583,18.2410500275979,6,6590
170,"Scarface",8,2948,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17.0343863828325,18.0034168480967,8,12702
117,"The Big Lebowski",7.8,2926,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5235607590665,17.6482645296893,16,7500
124,"Match Point",7.3,1105,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,16.5235607590665,18.2617597341719,11,4709
119,"The Untouchables",7.6,1384,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,17.0343863828325,18.1497961866597,16,11430
115,"Charlie and the Chocolate Factory",6.7,3624,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18.8261458520605,19.9787595977312,33,4814
