"","end_result","game","game_id","period","play","player","playoffs","score","season","shot_made","time","home_game","score1","score2","cur_score","opp_score","first_shot","missed_first","made_first","cur_time","losing","losing_alot","score_ratio","loss_sq","win_sq","prod1"
"262","94 - 90","MIA - CLE",270405005,1,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","18 - 15","2006 - 2007",0,"3:04",1,18,15,18,15,1,0,0,184,FALSE,FALSE,1.125,1156,1024,0
"263","94 - 90","MIA - CLE",270405005,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","28 - 28","2006 - 2007",0,"9:51",1,28,28,28,28,1,0,0,591,FALSE,FALSE,0.96551724137931,1156,1024,0
"264","94 - 90","MIA - CLE",270405005,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","29 - 28","2006 - 2007",1,"9:51",1,29,28,28,28,0,1,0,591,FALSE,FALSE,0.96551724137931,1156,1024,0
"265","111 - 103","CHA - MIA",270408014,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","73 - 61","2006 - 2007",1,"3:43",0,73,61,60,73,1,0,0,223,TRUE,FALSE,0.810810810810811,1156,1024,0
"266","111 - 103","CHA - MIA",270408014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","73 - 62","2006 - 2007",1,"3:43",0,73,62,61,73,0,0,1,223,TRUE,FALSE,0.824324324324324,1156,1024,0
"267","111 - 103","CHA - MIA",270408014,4,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","81 - 82","2006 - 2007",0,"6:28",0,81,82,82,81,1,0,0,388,FALSE,FALSE,1,1156,1024,0
"268","111 - 103","CHA - MIA",270408014,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","81 - 82","2006 - 2007",0,"6:01",0,81,82,82,81,1,0,0,361,FALSE,FALSE,1,1156,1024,0
"269","111 - 103","CHA - MIA",270408014,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","81 - 82","2006 - 2007",0,"6:01",0,81,82,82,81,0,1,0,361,FALSE,FALSE,1,1156,1024,0
"270","111 - 103","CHA - MIA",270408014,4,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","88 - 89","2006 - 2007",1,"2:09",0,88,89,88,88,1,0,0,129,FALSE,FALSE,0.98876404494382,1156,1024,0
"271","111 - 103","CHA - MIA",270408014,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","88 - 89","2006 - 2007",0,"2:09",0,88,89,89,88,0,0,1,129,FALSE,FALSE,1,1156,1024,0
"272","96 - 100","IND - MIA",270413014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","52 - 55","2006 - 2007",0,"9:45",0,52,55,55,52,1,0,0,585,FALSE,FALSE,1.0377358490566,1156,1024,0
"273","96 - 100","IND - MIA",270413014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","52 - 56","2006 - 2007",1,"9:45",0,52,56,55,52,0,1,0,585,FALSE,FALSE,1.0377358490566,1156,1024,0
"274","96 - 100","IND - MIA",270413014,3,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","54 - 58","2006 - 2007",0,"8:41",0,54,58,58,54,1,0,0,521,FALSE,FALSE,1.05454545454545,1156,1024,0
"275","96 - 100","IND - MIA",270413014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","60 - 62","2006 - 2007",0,"5:24",0,60,62,62,60,1,0,0,324,FALSE,FALSE,1.01639344262295,1156,1024,0
"276","96 - 100","IND - MIA",270413014,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","60 - 62","2006 - 2007",0,"5:24",0,60,62,62,60,0,1,0,324,FALSE,FALSE,1.01639344262295,1156,1024,0
"277","91 - 89","BOS - MIA",270416014,2,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","34 - 36","2006 - 2007",1,"1:52",0,34,36,35,34,1,0,0,112,FALSE,FALSE,1,1156,1024,0
"278","91 - 89","BOS - MIA",270416014,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","34 - 37","2006 - 2007",1,"1:52",0,34,37,36,34,0,0,1,112,FALSE,FALSE,1.02857142857143,1156,1024,0
"279","91 - 89","BOS - MIA",270416014,3,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","49 - 57","2006 - 2007",0,"5:48",0,49,57,57,49,1,0,0,348,FALSE,FALSE,1.14,1156,1024,0
"280","91 - 96","MIA - CHI",270421004,1,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","playoffs","12 - 12","2006 - 2007",0,"6:48",1,12,12,12,12,1,0,0,408,FALSE,FALSE,0.923076923076923,1156,1024,0
"281","91 - 96","MIA - CHI",270421004,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","37 - 37","2006 - 2007",0,"5:28",1,37,37,37,37,1,0,0,328,FALSE,FALSE,0.973684210526316,1156,1024,0
"282","91 - 96","MIA - CHI",270421004,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","playoffs","38 - 37","2006 - 2007",1,"5:28",1,38,37,37,37,0,1,0,328,FALSE,FALSE,0.973684210526316,1156,1024,0
"283","89 - 107","MIA - CHI",270424004,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","playoffs","1 - 0","2006 - 2007",1,"11:41",1,1,0,0,0,1,0,0,701,FALSE,FALSE,0,1156,1024,0
"284","89 - 107","MIA - CHI",270424004,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","playoffs","2 - 0","2006 - 2007",1,"11:41",1,2,0,1,0,0,0,1,701,FALSE,FALSE,1,1156,1024,1
"285","89 - 107","MIA - CHI",270424004,1,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","playoffs","5 - 8","2006 - 2007",1,"8:11",1,5,8,4,8,1,0,0,491,TRUE,FALSE,0.444444444444444,1156,1024,0
"286","89 - 107","MIA - CHI",270424004,2,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","playoffs","22 - 31","2006 - 2007",1,"11:32",1,22,31,21,31,1,0,0,692,TRUE,FALSE,0.65625,1156,1024,0
"287","89 - 107","MIA - CHI",270424004,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","playoffs","23 - 31","2006 - 2007",1,"11:32",1,23,31,22,31,0,0,1,692,TRUE,FALSE,0.6875,1156,1024,1
"288","104 - 96","CHI - MIA",270427014,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","10 - 7","2006 - 2007",0,"8:00",0,10,7,7,10,1,0,0,480,TRUE,FALSE,0.636363636363636,1156,1024,0
"289","104 - 96","CHI - MIA",270427014,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","playoffs","10 - 7","2006 - 2007",0,"8:00",0,10,7,7,10,0,1,0,480,TRUE,FALSE,0.636363636363636,1156,1024,0
"290","104 - 96","CHI - MIA",270427014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","49 - 54","2006 - 2007",0,"10:47",0,49,54,54,49,1,0,0,647,FALSE,FALSE,1.08,1156,1024,0
"291","104 - 96","CHI - MIA",270427014,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","playoffs","49 - 54","2006 - 2007",0,"10:47",0,49,54,54,49,0,1,0,647,FALSE,FALSE,1.08,1156,1024,0
"292","104 - 96","CHI - MIA",270427014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","51 - 56","2006 - 2007",0,"9:10",0,51,56,56,51,1,0,0,550,FALSE,FALSE,1.07692307692308,1156,1024,0
"293","104 - 96","CHI - MIA",270427014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","playoffs","51 - 57","2006 - 2007",1,"9:10",0,51,57,56,51,0,1,0,550,FALSE,FALSE,1.07692307692308,1156,1024,0
"294","104 - 96","CHI - MIA",270427014,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","playoffs","60 - 71","2006 - 2007",1,"3:42",0,60,71,70,60,1,0,0,222,FALSE,FALSE,1.14754098360656,1156,1024,0
"295","104 - 96","CHI - MIA",270427014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","playoffs","60 - 72","2006 - 2007",1,"3:42",0,60,72,71,60,0,0,1,222,FALSE,FALSE,1.16393442622951,1156,1024,0
"296","104 - 96","CHI - MIA",270427014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","63 - 72","2006 - 2007",0,"3:12",0,63,72,72,63,1,0,0,192,FALSE,FALSE,1.125,1156,1024,0
"297","104 - 96","CHI - MIA",270427014,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","playoffs","63 - 72","2006 - 2007",0,"3:12",0,63,72,72,63,0,1,0,192,FALSE,FALSE,1.125,1156,1024,0
"298","104 - 96","CHI - MIA",270427014,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","82 - 79","2006 - 2007",0,"7:43",0,82,79,79,82,1,0,0,463,TRUE,FALSE,0.951807228915663,1156,1024,0
"299","104 - 96","CHI - MIA",270427014,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","playoffs","82 - 79","2006 - 2007",0,"7:43",0,82,79,79,82,0,1,0,463,TRUE,FALSE,0.951807228915663,1156,1024,0
"300","92 - 79","CHI - MIA",270429014,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","0 - 2","2006 - 2007",0,"11:26",0,0,2,2,0,1,0,0,686,FALSE,FALSE,2,1156,1024,0
"301","92 - 79","CHI - MIA",270429014,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","playoffs","0 - 2","2006 - 2007",0,"11:26",0,0,2,2,0,0,1,0,686,FALSE,FALSE,2,1156,1024,0
"302","92 - 79","CHI - MIA",270429014,1,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","playoffs","11 - 14","2006 - 2007",0,"6:20",0,11,14,14,11,1,0,0,380,FALSE,FALSE,1.16666666666667,1156,1024,0
"303","92 - 79","CHI - MIA",270429014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","33 - 36","2006 - 2007",0,"4:45",0,33,36,36,33,1,0,0,285,FALSE,FALSE,1.05882352941176,1156,1024,0
"304","92 - 79","CHI - MIA",270429014,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","playoffs","33 - 36","2006 - 2007",0,"4:45",0,33,36,36,33,0,1,0,285,FALSE,FALSE,1.05882352941176,1156,1024,0
"305","92 - 79","CHI - MIA",270429014,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","playoffs","78 - 75","2006 - 2007",0,"5:39",0,78,75,75,78,1,0,0,339,TRUE,FALSE,0.949367088607595,1156,1024,0
"306","92 - 79","CHI - MIA",270429014,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","playoffs","78 - 75","2006 - 2007",0,"5:39",0,78,75,75,78,0,1,0,339,TRUE,FALSE,0.949367088607595,1156,1024,0
"307","91 - 80","DET - MIA",271101014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","50 - 42","2007 - 2008",0,"11:10",0,50,42,42,50,1,0,0,670,TRUE,FALSE,0.823529411764706,1156,1024,0
"308","91 - 80","DET - MIA",271101014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","50 - 43","2007 - 2008",1,"11:10",0,50,43,42,50,0,1,0,670,TRUE,FALSE,0.823529411764706,1156,1024,0
"309","91 - 80","DET - MIA",271101014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","59 - 52","2007 - 2008",0,"6:52",0,59,52,52,59,1,0,0,412,TRUE,FALSE,0.866666666666667,1156,1024,0
"310","91 - 80","DET - MIA",271101014,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","59 - 52","2007 - 2008",0,"6:52",0,59,52,52,59,0,1,0,412,TRUE,FALSE,0.866666666666667,1156,1024,0
"311","85 - 87","MIA - IND",271102011,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","34 - 31","2007 - 2008",0,"6:11",1,34,31,34,31,1,0,0,371,FALSE,FALSE,1.0625,1156,1024,0
"312","85 - 87","MIA - IND",271102011,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","34 - 31","2007 - 2008",0,"6:11",1,34,31,34,31,0,1,0,371,FALSE,FALSE,1.0625,1156,1024,0
"313","85 - 87","MIA - IND",271102011,3,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","56 - 53","2007 - 2008",0,"7:01",1,56,53,56,53,1,0,0,421,FALSE,FALSE,1.03703703703704,1156,1024,0
"314","90 - 88","CHA - MIA",271104014,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","83 - 74","2007 - 2008",0,"5:50",0,83,74,74,83,1,0,0,350,TRUE,FALSE,0.880952380952381,1156,1024,0
"315","90 - 88","CHA - MIA",271104014,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","83 - 75","2007 - 2008",1,"5:50",0,83,75,74,83,0,1,0,350,TRUE,FALSE,0.880952380952381,1156,1024,0
"316","78 - 88","MIA - SA",271107024,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","8 - 4","2007 - 2008",1,"8:22",1,8,4,7,4,1,0,0,502,FALSE,FALSE,1.4,1156,1024,0
"317","78 - 88","MIA - SA",271107024,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","9 - 4","2007 - 2008",1,"8:22",1,9,4,8,4,0,0,1,502,FALSE,FALSE,1.6,1156,1024,1
"318","78 - 88","MIA - SA",271107024,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","10 - 6","2007 - 2008",1,"7:56",1,10,6,9,6,1,0,0,476,FALSE,FALSE,1.28571428571429,1156,1024,0
"319","78 - 88","MIA - SA",271107024,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","10 - 6","2007 - 2008",0,"7:56",1,10,6,10,6,0,0,1,476,FALSE,FALSE,1.42857142857143,1156,1024,1
"320","78 - 88","MIA - SA",271107024,2,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","28 - 31","2007 - 2008",1,"7:31",1,28,31,27,31,1,0,0,451,TRUE,FALSE,0.84375,1156,1024,0
"321","78 - 88","MIA - SA",271107024,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","28 - 31","2007 - 2008",0,"7:31",1,28,31,28,31,0,0,1,451,TRUE,FALSE,0.875,1156,1024,1
"322","78 - 88","MIA - SA",271107024,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","60 - 75","2007 - 2008",0,"7:33",1,60,75,60,75,1,0,0,453,TRUE,FALSE,0.789473684210526,1156,1024,0
"323","78 - 88","MIA - SA",271107024,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","60 - 75","2007 - 2008",0,"7:33",1,60,75,60,75,0,1,0,453,TRUE,FALSE,0.789473684210526,1156,1024,0
"324","78 - 88","MIA - SA",271107024,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","63 - 79","2007 - 2008",0,"5:33",1,63,79,63,79,1,0,0,333,TRUE,TRUE,0.7875,1156,1024,0
"325","78 - 88","MIA - SA",271107024,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","64 - 79","2007 - 2008",1,"5:33",1,64,79,63,79,0,1,0,333,TRUE,TRUE,0.7875,1156,1024,0
"326","106 - 101","PHX - MIA",271109014,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","27 - 37","2007 - 2008",1,"0:11",0,27,37,36,27,1,0,0,11,FALSE,FALSE,1.28571428571429,1156,1024,0
"327","106 - 101","PHX - MIA",271109014,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","27 - 37","2007 - 2008",0,"0:11",0,27,37,37,27,0,0,1,11,FALSE,FALSE,1.32142857142857,1156,1024,0
"328","106 - 101","PHX - MIA",271109014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","31 - 41","2007 - 2008",0,"10:03",0,31,41,41,31,1,0,0,603,FALSE,FALSE,1.28125,1156,1024,0
"329","106 - 101","PHX - MIA",271109014,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","31 - 41","2007 - 2008",0,"10:03",0,31,41,41,31,0,1,0,603,FALSE,FALSE,1.28125,1156,1024,0
"330","106 - 101","PHX - MIA",271109014,3,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","63 - 66","2007 - 2008",1,"9:19",0,63,66,65,63,1,0,0,559,FALSE,FALSE,1.015625,1156,1024,0
"331","106 - 101","PHX - MIA",271109014,4,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","89 - 93","2007 - 2008",1,"6:54",0,89,93,92,89,1,0,0,414,FALSE,FALSE,1.02222222222222,1156,1024,0
"332","76 - 91","MIA - CHA",271113030,2,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","17 - 23","2007 - 2008",1,"9:03",1,17,23,16,23,1,0,0,543,TRUE,FALSE,0.666666666666667,1156,1024,0
"333","76 - 91","MIA - CHA",271113030,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","21 - 29","2007 - 2008",0,"6:01",1,21,29,21,29,1,0,0,361,TRUE,FALSE,0.7,1156,1024,0
"334","76 - 91","MIA - CHA",271113030,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","21 - 29","2007 - 2008",0,"6:01",1,21,29,21,29,0,1,0,361,TRUE,FALSE,0.7,1156,1024,0
"335","76 - 91","MIA - CHA",271113030,3,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","38 - 46","2007 - 2008",1,"9:42",1,38,46,37,46,1,0,0,582,TRUE,FALSE,0.787234042553192,1156,1024,0
"336","76 - 91","MIA - CHA",271113030,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","47 - 71","2007 - 2008",1,"0:00",1,47,71,46,71,1,0,0,0,TRUE,TRUE,0.638888888888889,1156,1024,0
"337","76 - 91","MIA - CHA",271113030,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","47 - 71","2007 - 2008",0,"0:00",1,47,71,47,71,0,0,1,0,TRUE,TRUE,0.652777777777778,1156,1024,1
"338","104 - 95","SEA - MIA",271114014,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","65 - 46","2007 - 2008",1,"9:33",0,65,46,45,65,1,0,0,573,TRUE,TRUE,0.681818181818182,1156,1024,0
"339","104 - 95","SEA - MIA",271114014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","65 - 47","2007 - 2008",1,"9:33",0,65,47,46,65,0,0,1,573,TRUE,TRUE,0.696969696969697,1156,1024,0
"340","91 - 92","MIA - BOS",271116002,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","7 - 2","2007 - 2008",1,"9:12",1,7,2,6,2,1,0,0,552,FALSE,FALSE,2,1156,1024,0
"341","91 - 92","MIA - BOS",271116002,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","8 - 2","2007 - 2008",1,"9:12",1,8,2,7,2,0,0,1,552,FALSE,FALSE,2.33333333333333,1156,1024,1
"342","91 - 92","MIA - BOS",271116002,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","85 - 86","2007 - 2008",0,"2:24",1,85,86,85,86,1,0,0,144,TRUE,FALSE,0.977011494252874,1156,1024,0
"343","91 - 92","MIA - BOS",271116002,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","86 - 86","2007 - 2008",1,"2:24",1,86,86,85,86,0,1,0,144,TRUE,FALSE,0.977011494252874,1156,1024,0
"344","91 - 87","MIA - NJ",271117017,3,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","52 - 45","2007 - 2008",1,"7:28",1,52,45,51,45,1,0,0,448,FALSE,FALSE,1.10869565217391,1156,1024,0
"345","91 - 87","MIA - NJ",271117017,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","55 - 51","2007 - 2008",1,"3:55",1,55,51,54,51,1,0,0,235,FALSE,FALSE,1.03846153846154,1156,1024,0
"346","91 - 87","MIA - NJ",271117017,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","56 - 51","2007 - 2008",1,"3:55",1,56,51,55,51,0,0,1,235,FALSE,FALSE,1.05769230769231,1156,1024,1
"347","91 - 87","MIA - NJ",271117017,4,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","76 - 69","2007 - 2008",1,"6:13",1,76,69,75,69,1,0,0,373,FALSE,FALSE,1.07142857142857,1156,1024,0
"348","91 - 87","MIA - NJ",271117017,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","77 - 69","2007 - 2008",1,"6:13",1,77,69,76,69,0,0,1,373,FALSE,FALSE,1.08571428571429,1156,1024,1
"349","91 - 87","MIA - NJ",271117017,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","79 - 71","2007 - 2008",0,"5:13",1,79,71,79,71,1,0,0,313,FALSE,FALSE,1.09722222222222,1156,1024,0
"350","91 - 87","MIA - NJ",271117017,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","80 - 71","2007 - 2008",1,"5:13",1,80,71,79,71,0,1,0,313,FALSE,FALSE,1.09722222222222,1156,1024,0
"351","82 - 79","ATL - MIA",271121014,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","0 - 0","2007 - 2008",0,"11:03",0,0,0,0,0,1,0,0,663,FALSE,FALSE,0,1156,1024,0
"352","82 - 79","ATL - MIA",271121014,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","0 - 0","2007 - 2008",0,"11:03",0,0,0,0,0,0,1,0,663,FALSE,FALSE,0,1156,1024,0
"353","82 - 79","ATL - MIA",271121014,1,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","12 - 17","2007 - 2008",1,"4:18",0,12,17,16,12,1,0,0,258,FALSE,FALSE,1.23076923076923,1156,1024,0
"354","82 - 79","ATL - MIA",271121014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","27 - 36","2007 - 2008",0,"5:11",0,27,36,36,27,1,0,0,311,FALSE,FALSE,1.28571428571429,1156,1024,0
"355","82 - 79","ATL - MIA",271121014,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","27 - 36","2007 - 2008",0,"5:11",0,27,36,36,27,0,1,0,311,FALSE,FALSE,1.28571428571429,1156,1024,0
"356","82 - 79","ATL - MIA",271121014,4,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","76 - 74","2007 - 2008",1,"2:21",0,76,74,73,76,1,0,0,141,TRUE,FALSE,0.948051948051948,1156,1024,0
"357","82 - 79","ATL - MIA",271121014,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","76 - 74","2007 - 2008",0,"2:21",0,76,74,74,76,0,0,1,141,TRUE,FALSE,0.961038961038961,1156,1024,0
"358","91 - 98","HOU - MIA",271123014,1,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","4 - 12","2007 - 2008",1,"8:15",0,4,12,11,4,1,0,0,495,FALSE,FALSE,2.2,1156,1024,0
"359","91 - 98","HOU - MIA",271123014,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","4 - 15","2007 - 2008",1,"7:07",0,4,15,14,4,1,0,0,427,FALSE,FALSE,2.8,1156,1024,0
"360","91 - 98","HOU - MIA",271123014,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","4 - 15","2007 - 2008",0,"7:07",0,4,15,15,4,0,0,1,427,FALSE,FALSE,3,1156,1024,0
"361","91 - 98","HOU - MIA",271123014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","42 - 41","2007 - 2008",0,"4:13",0,42,41,41,42,1,0,0,253,TRUE,FALSE,0.953488372093023,1156,1024,0
"362","91 - 98","HOU - MIA",271123014,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","42 - 41","2007 - 2008",0,"4:13",0,42,41,41,42,0,1,0,253,TRUE,FALSE,0.953488372093023,1156,1024,0
"363","91 - 98","HOU - MIA",271123014,2,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","44 - 44","2007 - 2008",1,"2:48",0,44,44,43,44,1,0,0,168,TRUE,FALSE,0.955555555555556,1156,1024,0
"364","91 - 98","HOU - MIA",271123014,2,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","46 - 47","2007 - 2008",1,"1:13",0,46,47,46,46,1,0,0,73,FALSE,FALSE,0.978723404255319,1156,1024,0
"365","91 - 98","HOU - MIA",271123014,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","46 - 47","2007 - 2008",0,"1:13",0,46,47,47,46,0,0,1,73,FALSE,FALSE,1,1156,1024,0
"366","91 - 98","HOU - MIA",271123014,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","62 - 64","2007 - 2008",1,"7:16",0,62,64,63,62,1,0,0,436,FALSE,FALSE,1,1156,1024,0
"367","91 - 98","HOU - MIA",271123014,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","62 - 64","2007 - 2008",0,"7:16",0,62,64,64,62,0,0,1,436,FALSE,FALSE,1.01587301587302,1156,1024,0
"368","91 - 98","HOU - MIA",271123014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","65 - 66","2007 - 2008",0,"4:28",0,65,66,66,65,1,0,0,268,FALSE,FALSE,1,1156,1024,0
"369","91 - 98","HOU - MIA",271123014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","65 - 67","2007 - 2008",1,"4:28",0,65,67,66,65,0,1,0,268,FALSE,FALSE,1,1156,1024,0
"370","99 - 120","MIA - ORL",271124019,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","5 - 4","2007 - 2008",0,"9:59",1,5,4,5,4,1,0,0,599,FALSE,FALSE,1,1156,1024,0
"371","99 - 120","MIA - ORL",271124019,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","6 - 4","2007 - 2008",1,"9:59",1,6,4,5,4,0,1,0,599,FALSE,FALSE,1,1156,1024,0
"372","99 - 120","MIA - ORL",271124019,1,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","15 - 11","2007 - 2008",1,"7:11",1,15,11,14,11,1,0,0,431,FALSE,FALSE,1.16666666666667,1156,1024,0
"373","99 - 120","MIA - ORL",271124019,3,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","55 - 64","2007 - 2008",0,"10:17",1,55,64,55,64,1,0,0,617,TRUE,FALSE,0.846153846153846,1156,1024,0
