"","end_result","game","game_id","period","play","player","playoffs","score","season","shot_made","time","home_game","score1","score2","cur_score","opp_score","first_shot","missed_first","made_first","cur_time","losing","losing_alot","score_ratio","loss_sq","win_sq","prod1"
"22","96 - 116","MIA - NY",270126018,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","10 - 12","2006 - 2007",0,"8:22",1,10,12,10,12,1,0,0,502,TRUE,FALSE,0.769230769230769,1156,1024,0
"23","96 - 116","MIA - NY",270126018,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","10 - 12","2006 - 2007",0,"8:22",1,10,12,10,12,0,1,0,502,TRUE,FALSE,0.769230769230769,1156,1024,0
"24","96 - 116","MIA - NY",270126018,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","15 - 12","2006 - 2007",1,"6:39",1,15,12,14,12,1,0,0,399,FALSE,FALSE,1.07692307692308,1156,1024,0
"25","96 - 116","MIA - NY",270126018,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","16 - 12","2006 - 2007",1,"6:39",1,16,12,15,12,0,0,1,399,FALSE,FALSE,1.15384615384615,1156,1024,1
"26","96 - 116","MIA - NY",270126018,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","53 - 67","2006 - 2007",0,"10:19",1,53,67,53,67,1,0,0,619,TRUE,FALSE,0.779411764705882,1156,1024,0
"27","96 - 116","MIA - NY",270126018,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","53 - 67","2006 - 2007",0,"10:19",1,53,67,53,67,0,1,0,619,TRUE,FALSE,0.779411764705882,1156,1024,0
"28","89 - 92","CLE - MIA",270201014,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","14 - 16","2006 - 2007",1,"0:38",0,14,16,15,14,1,0,0,38,FALSE,FALSE,1,1156,1024,0
"29","89 - 92","CLE - MIA",270201014,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","14 - 17","2006 - 2007",1,"0:38",0,14,17,16,14,0,0,1,38,FALSE,FALSE,1.06666666666667,1156,1024,0
"30","89 - 92","CLE - MIA",270201014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","41 - 34","2006 - 2007",0,"0:36",0,41,34,34,41,1,0,0,36,TRUE,FALSE,0.80952380952381,1156,1024,0
"31","89 - 92","CLE - MIA",270201014,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","41 - 35","2006 - 2007",1,"0:36",0,41,35,34,41,0,1,0,36,TRUE,FALSE,0.80952380952381,1156,1024,0
"32","89 - 92","CLE - MIA",270201014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","52 - 44","2006 - 2007",0,"6:56",0,52,44,44,52,1,0,0,416,TRUE,FALSE,0.830188679245283,1156,1024,0
"33","89 - 92","CLE - MIA",270201014,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","52 - 44","2006 - 2007",0,"6:56",0,52,44,44,52,0,1,0,416,TRUE,FALSE,0.830188679245283,1156,1024,0
